sample_id	score	global_score	seq_recovery
84	0.6595	0.7417	0.4932
85	0.6610	0.7429	0.4658
86	0.7061	0.8001	0.4795
87	0.7060	0.7983	0.4932
88	0.7091	0.7899	0.5205
89	0.6891	0.7792	0.5068
90	0.6998	0.7921	0.5342
91	0.7062	0.7904	0.5479
92	0.7169	0.8018	0.5068
93	0.7014	0.7860	0.5068
94	0.7347	0.8232	0.5342
95	0.7042	0.7964	0.4932
96	0.7127	0.8024	0.5068
97	0.7094	0.8033	0.5205
98	0.6958	0.7865	0.5068
99	0.6932	0.7750	0.5205
100	0.7018	0.7962	0.5205
101	0.6643	0.7460	0.5479
102	0.7401	0.8279	0.4658
103	0.7240	0.8131	0.5205
104	0.7021	0.7929	0.4932
105	0.6956	0.7869	0.5068
106	0.6943	0.7743	0.5342
107	0.7300	0.8105	0.5068
108	0.6912	0.7780	0.5068
109	0.7243	0.8026	0.4795
110	0.7011	0.7954	0.5342
111	0.6809	0.7727	0.5342
112	0.7529	0.8286	0.5342
113	0.6959	0.7897	0.4932
114	0.6961	0.7890	0.4795
115	0.7041	0.7970	0.5342
116	0.7217	0.8118	0.4795
117	0.6965	0.7791	0.5342
118	0.7045	0.7896	0.5342
119	0.6952	0.7852	0.5068
120	0.6782	0.7729	0.5342
121	0.7020	0.7817	0.5205
122	0.7075	0.8008	0.5205
123	0.7398	0.8273	0.4932
124	0.7138	0.7991	0.5342
125	0.7233	0.8124	0.5342
126	0.6937	0.7737	0.4932
127	0.6912	0.7835	0.4795
128	0.7267	0.8087	0.4932
129	0.6796	0.7719	0.4932
130	0.7080	0.7981	0.5342
131	0.6993	0.7932	0.5205
132	0.6818	0.7727	0.4795
133	0.6995	0.7812	0.5068
134	0.6978	0.7778	0.5342
135	0.6747	0.7676	0.5205
136	0.7100	0.8000	0.5068
137	0.7072	0.7962	0.5342
138	0.7257	0.8139	0.4658
139	0.7589	0.8367	0.5068
140	0.6775	0.7702	0.5342
141	0.7052	0.7873	0.5205
142	0.7215	0.8028	0.5068
143	0.6881	0.7811	0.5068
144	0.7128	0.8028	0.4932
145	0.6991	0.7890	0.5068
146	0.7081	0.7913	0.4795
147	0.6962	0.7882	0.5205
148	0.7070	0.7972	0.4658
149	0.7349	0.8226	0.5205
150	0.7051	0.7846	0.4658
151	0.6904	0.7759	0.4932
152	0.7431	0.8320	0.5342
153	0.7090	0.7939	0.4932
154	0.7366	0.8133	0.4658
155	0.6848	0.7673	0.4932
156	0.7047	0.7879	0.5342
157	0.7310	0.8202	0.4932
158	0.7308	0.8230	0.4932
159	0.6754	0.7594	0.4795
160	0.7557	0.8379	0.5342
161	0.7049	0.7845	0.5205
162	0.7449	0.8217	0.5479
163	0.6950	0.7897	0.5205
164	0.7175	0.8064	0.5205
165	0.7194	0.7978	0.4932
166	0.6912	0.7773	0.4932
167	0.7336	0.8112	0.5205
168	0.7287	0.8102	0.5205
169	0.6932	0.7858	0.4932
170	0.7319	0.8218	0.5205
171	0.7137	0.7989	0.5205
172	0.7000	0.7929	0.5068
173	0.7277	0.8049	0.5068
174	0.7151	0.7966	0.4795
175	0.7240	0.8051	0.4795
176	0.6749	0.7593	0.5068
177	0.6861	0.7668	0.5342
178	0.7072	0.7974	0.4795
179	0.7242	0.8062	0.5068
180	0.7124	0.7980	0.4795
181	0.6915	0.7772	0.5068
182	0.7218	0.8103	0.4932
183	0.6894	0.7697	0.4932
184	0.6961	0.7881	0.4932
185	0.6560	0.7445	0.5205
186	0.7236	0.8156	0.5479
187	0.6798	0.7633	0.5068
188	0.7133	0.8065	0.5616
189	0.7144	0.7990	0.5205
190	0.6997	0.7933	0.5479
191	0.7051	0.7975	0.4658
192	0.7199	0.8091	0.5068
193	0.6736	0.7542	0.5068
194	0.7313	0.8089	0.5342
195	0.7092	0.7943	0.5616
196	0.6684	0.7611	0.4932
197	0.6850	0.7673	0.5479
198	0.6922	0.7779	0.5205
199	0.6812	0.7767	0.4795
200	0.6954	0.7784	0.5205
201	0.6922	0.7720	0.4658
202	0.7036	0.7883	0.5205
203	0.7187	0.8008	0.5342
204	0.7219	0.8021	0.4932
205	0.6867	0.7806	0.5479
206	0.7042	0.7885	0.5205
207	0.6902	0.7772	0.5205
208	0.7200	0.8044	0.4932
209	0.7487	0.8360	0.5342
210	0.6908	0.7852	0.4932
211	0.7094	0.7943	0.5205
212	0.7556	0.8385	0.5479
213	0.7150	0.8070	0.5205
214	0.7193	0.8028	0.5479
215	0.7259	0.8185	0.5205
216	0.7404	0.8307	0.4795
217	0.6904	0.7807	0.5205
218	0.6987	0.7844	0.5068
219	0.6959	0.7858	0.4795
220	0.6969	0.7825	0.5205
221	0.7219	0.8128	0.5616
222	0.7075	0.8000	0.5068
223	0.7226	0.8066	0.4932
224	0.6762	0.7679	0.5068
225	0.6951	0.7783	0.4932
226	0.6942	0.7800	0.4521
227	0.6985	0.7926	0.4658
228	0.6763	0.7705	0.4932
229	0.6989	0.7819	0.5068
230	0.6981	0.7916	0.5068
231	0.6819	0.7738	0.4932
232	0.6997	0.7815	0.5205
233	0.7375	0.8204	0.5205
234	0.6998	0.7834	0.4932
235	0.7398	0.8308	0.5068
236	0.7085	0.7933	0.4932
237	0.6752	0.7590	0.5205
238	0.7167	0.7952	0.5205
239	0.7407	0.8229	0.5479
240	0.7019	0.7835	0.5068
241	0.7240	0.8046	0.4658
242	0.6649	0.7533	0.5068
243	0.6889	0.7827	0.5342
244	0.7398	0.8210	0.5342
245	0.7002	0.7795	0.4932
246	0.7256	0.8177	0.4932
247	0.7261	0.8097	0.4932
248	0.6996	0.7858	0.5205
249	0.6868	0.7735	0.4932
250	0.7149	0.8052	0.4795
251	0.6746	0.7660	0.5342
252	0.7064	0.7878	0.5068
253	0.6802	0.7613	0.4932
254	0.7155	0.8057	0.4795
255	0.7076	0.8014	0.5205
256	0.6950	0.7753	0.5068
257	0.7123	0.7964	0.5205
258	0.6799	0.7666	0.4795
259	0.6802	0.7712	0.4795
260	0.6960	0.7882	0.4795
261	0.7259	0.8038	0.5205
262	0.7102	0.8041	0.5068
263	0.7040	0.7866	0.5205
264	0.7310	0.8228	0.5342
265	0.7000	0.7854	0.4932
266	0.7134	0.8067	0.4795
267	0.7072	0.7965	0.5479
268	0.7040	0.7898	0.4932
269	0.7294	0.8112	0.5342
270	0.6726	0.7672	0.4795
271	0.6954	0.7804	0.5205
272	0.7226	0.8154	0.5205
273	0.7112	0.8028	0.5068
274	0.6903	0.7808	0.5342
275	0.6709	0.7524	0.5205
276	0.7039	0.7832	0.4932
277	0.7242	0.8071	0.5068
278	0.7306	0.8143	0.5616
279	0.7280	0.8124	0.5205
280	0.7337	0.8256	0.5068
281	0.7160	0.8056	0.4658
282	0.7075	0.7892	0.5068
283	0.6983	0.7847	0.5342
284	0.7237	0.8038	0.5068
285	0.7289	0.8119	0.5205
286	0.7209	0.8017	0.5068
287	0.7239	0.8127	0.5342
288	0.6955	0.7897	0.5068
289	0.7105	0.8023	0.5205
290	0.6938	0.7864	0.5342
291	0.6798	0.7731	0.5479
292	0.7004	0.7799	0.4795
293	0.6923	0.7757	0.5479
294	0.7082	0.7977	0.5068
295	0.7013	0.7849	0.4795
296	0.7693	0.8549	0.5205
297	0.6899	0.7697	0.5068
298	0.6966	0.7795	0.5068
299	0.6956	0.7796	0.4795
300	0.6861	0.7809	0.4795
301	0.7153	0.7968	0.5205
302	0.6888	0.7692	0.5342
303	0.7169	0.8096	0.5342
304	0.6977	0.7819	0.5205
305	0.7182	0.8088	0.5068
306	0.7329	0.8137	0.4932
307	0.7192	0.8084	0.5068
308	0.7145	0.8068	0.5205
309	0.7330	0.8242	0.4795
310	0.7068	0.7983	0.5205
311	0.7253	0.8073	0.5068
312	0.7070	0.7964	0.5205
313	0.7038	0.7887	0.4932
314	0.6842	0.7761	0.5205
315	0.7308	0.8198	0.4932
316	0.6861	0.7794	0.4521
317	0.7127	0.7944	0.4932
318	0.6644	0.7531	0.4932
319	0.7066	0.7919	0.5068
320	0.7019	0.7808	0.5753
321	0.6973	0.7837	0.5342
322	0.7111	0.8042	0.4521
323	0.7379	0.8259	0.5068
324	0.6978	0.7827	0.4658
325	0.7035	0.7858	0.4795
326	0.7391	0.8265	0.5068
327	0.7199	0.7999	0.4521
328	0.7185	0.8023	0.5068
329	0.7020	0.7931	0.5068
330	0.6890	0.7721	0.5342
331	0.7243	0.8156	0.5479
332	0.7036	0.7962	0.5068
333	0.7602	0.8468	0.4932
334	0.6612	0.7485	0.5068
335	0.7154	0.8062	0.5342
336	0.7298	0.8179	0.5205
337	0.6825	0.7663	0.5205
338	0.7243	0.8137	0.4795
339	0.6993	0.7932	0.4795
340	0.6860	0.7791	0.4932
341	0.6682	0.7645	0.5205
342	0.6904	0.7842	0.5342
343	0.7050	0.7956	0.5068
344	0.6944	0.7764	0.5342
345	0.7296	0.8218	0.5479
346	0.6705	0.7557	0.4932
347	0.7092	0.7883	0.4932
348	0.6948	0.7851	0.5205
349	0.7138	0.8042	0.5342
350	0.6746	0.7704	0.5342
351	0.6951	0.7876	0.5479
352	0.6931	0.7871	0.5479
353	0.7088	0.7873	0.4932
354	0.7146	0.8075	0.4932
355	0.6972	0.7832	0.4521
356	0.6830	0.7783	0.4932
357	0.6895	0.7804	0.5342
358	0.7102	0.7952	0.4795
359	0.7577	0.8439	0.5616
360	0.7497	0.8317	0.4932
361	0.7107	0.8020	0.4932
362	0.6972	0.7765	0.5205
363	0.6513	0.7408	0.5479
364	0.6844	0.7790	0.5068
365	0.7478	0.8388	0.5068
366	0.6886	0.7823	0.5068
367	0.7094	0.7882	0.4932
368	0.7187	0.8085	0.5342
369	0.7093	0.7879	0.4932
370	0.6880	0.7824	0.5205
371	0.6895	0.7831	0.5479
372	0.7452	0.8328	0.5342
373	0.6853	0.7787	0.4932
374	0.6897	0.7805	0.4932
375	0.7106	0.7914	0.4932
376	0.7511	0.8378	0.5616
377	0.7066	0.7853	0.5205
378	0.6819	0.7760	0.5342
379	0.7061	0.7875	0.5479
380	0.6802	0.7639	0.5342
381	0.6601	0.7423	0.5205
382	0.7236	0.8140	0.5068
383	0.7204	0.8046	0.5479
384	0.7162	0.7945	0.4795
385	0.7217	0.8134	0.4658
386	0.7069	0.7898	0.4795
387	0.7023	0.7921	0.5342
388	0.6822	0.7735	0.5068
389	0.6743	0.7659	0.5479
390	0.6881	0.7832	0.5068
391	0.7119	0.7910	0.5342
392	0.7294	0.8218	0.4795
393	0.7097	0.8032	0.5068
394	0.6915	0.7862	0.5342
395	0.7254	0.8135	0.5342
396	0.7228	0.8110	0.4658
397	0.7164	0.8059	0.4932
398	0.7242	0.8083	0.5205
399	0.6894	0.7821	0.5068
400	0.7044	0.7950	0.4932
401	0.7245	0.8081	0.4932
402	0.6952	0.7811	0.5068
403	0.7427	0.8305	0.4658
404	0.7161	0.8066	0.5068
405	0.7438	0.8227	0.5205
406	0.7225	0.8070	0.5068
407	0.6897	0.7828	0.4521
408	0.7098	0.8032	0.5205
409	0.7240	0.8077	0.4932
410	0.7159	0.8073	0.4795
411	0.7454	0.8215	0.4932
412	0.6639	0.7600	0.4932
413	0.7040	0.7874	0.5342
414	0.7066	0.7859	0.4658
415	0.6726	0.7643	0.5205
416	0.6881	0.7811	0.5205
417	0.7513	0.8392	0.5068
418	0.7110	0.7926	0.4795
419	0.7478	0.8367	0.5753
420	0.7168	0.8062	0.5068
421	0.7005	0.7838	0.4932
422	0.6862	0.7765	0.5068
423	0.7362	0.8195	0.5205
424	0.7168	0.8015	0.4658
425	0.7119	0.8010	0.5342
426	0.7001	0.7907	0.5068
427	0.6859	0.7797	0.5068
428	0.7128	0.7966	0.5068
429	0.6737	0.7544	0.5205
430	0.6929	0.7831	0.5205
431	0.6790	0.7734	0.5205
432	0.7085	0.7903	0.5205
433	0.7003	0.7923	0.4658
434	0.7104	0.7946	0.5479
435	0.7174	0.7978	0.5205
436	0.7063	0.7884	0.5342
437	0.6901	0.7811	0.5068
438	0.7530	0.8392	0.5342
439	0.7301	0.8107	0.5342
440	0.6696	0.7542	0.4795
441	0.7035	0.7975	0.5068
442	0.6875	0.7732	0.5205
443	0.7286	0.8175	0.4932
444	0.6821	0.7658	0.5068
445	0.7381	0.8220	0.5479
446	0.7139	0.7988	0.5205
447	0.7058	0.7914	0.5205
448	0.6747	0.7588	0.4932
449	0.7404	0.8174	0.5342
450	0.6982	0.7888	0.4932
451	0.7151	0.8074	0.4932
452	0.7042	0.7867	0.5205
453	0.7121	0.8042	0.5616
454	0.6710	0.7593	0.5342
455	0.7326	0.8164	0.4658
456	0.7146	0.8080	0.4932
457	0.6933	0.7790	0.4795
458	0.7177	0.8065	0.4932
459	0.6891	0.7759	0.5342
460	0.7265	0.8044	0.5342
461	0.7347	0.8222	0.5205
462	0.7398	0.8191	0.5479
463	0.7204	0.8095	0.5205
464	0.7526	0.8329	0.5479
465	0.7155	0.8045	0.5068
466	0.7092	0.7992	0.4932
467	0.6927	0.7869	0.5068
468	0.7401	0.8280	0.4521
469	0.6930	0.7791	0.4932
470	0.7159	0.7976	0.5068
471	0.6990	0.7837	0.4932
472	0.7142	0.7949	0.5205
473	0.7267	0.8191	0.4932
474	0.6880	0.7818	0.4795
475	0.7104	0.8037	0.5342
476	0.7099	0.7939	0.5342
477	0.6759	0.7632	0.5205
478	0.6925	0.7855	0.5068
479	0.7194	0.8116	0.5342
480	0.7442	0.8323	0.5068
481	0.6840	0.7753	0.5068
482	0.7225	0.8036	0.4658
483	0.6688	0.7637	0.5068
484	0.6949	0.7894	0.5205
485	0.6902	0.7818	0.4384
486	0.6812	0.7657	0.5068
487	0.6933	0.7734	0.4932
488	0.7214	0.8123	0.5068
489	0.7228	0.8123	0.4795
490	0.7385	0.8280	0.5068
491	0.6773	0.7640	0.5068
492	0.6836	0.7707	0.5068
493	0.6822	0.7658	0.5068
494	0.6951	0.7858	0.5068
495	0.7008	0.7856	0.4932
496	0.7108	0.7962	0.4932
497	0.6961	0.7779	0.5068
498	0.6943	0.7799	0.5068
499	0.7077	0.7971	0.5068
500	0.6946	0.7806	0.5068
501	0.6963	0.7758	0.5068
502	0.7035	0.7832	0.4932
503	0.6854	0.7769	0.4932
504	0.6931	0.7870	0.5479
505	0.6968	0.7868	0.4932
506	0.6969	0.7831	0.5616
507	0.7323	0.8240	0.4932
508	0.7110	0.8042	0.5205
509	0.7294	0.8075	0.4795
510	0.7584	0.8343	0.4795
511	0.7169	0.8103	0.4932
512	0.7018	0.7870	0.5068
513	0.7111	0.7929	0.5068
514	0.6772	0.7691	0.4795
515	0.7322	0.8161	0.5342
516	0.6929	0.7839	0.5342
517	0.6864	0.7668	0.5068
518	0.7250	0.8030	0.5205
519	0.7490	0.8249	0.5479
520	0.7063	0.7906	0.5205
521	0.7286	0.8129	0.4795
522	0.6951	0.7811	0.5205
523	0.7587	0.8482	0.5342
524	0.7046	0.7868	0.5479
525	0.7013	0.7859	0.5068
526	0.6995	0.7847	0.4795
527	0.7322	0.8200	0.5068
528	0.6885	0.7824	0.5205
529	0.6990	0.7842	0.5205
530	0.7122	0.7962	0.5068
531	0.7193	0.8122	0.4932
532	0.7363	0.8237	0.5068
533	0.6732	0.7586	0.5342
534	0.7124	0.7912	0.5205
535	0.6994	0.7926	0.5342
536	0.7437	0.8321	0.5342
537	0.7185	0.7995	0.4932
538	0.6634	0.7519	0.5205
539	0.6965	0.7760	0.5342
540	0.7107	0.7964	0.4521
541	0.7005	0.7938	0.5342
542	0.7151	0.8005	0.5068
543	0.6935	0.7790	0.5342
544	0.6802	0.7744	0.4795
545	0.7322	0.8128	0.5616
546	0.7030	0.7957	0.4795
547	0.7347	0.8230	0.5342
548	0.6479	0.7452	0.5205
549	0.7111	0.8010	0.4658
550	0.7049	0.7952	0.4658
551	0.6564	0.7498	0.5205
552	0.7173	0.8088	0.5205
553	0.6839	0.7647	0.4658
554	0.6759	0.7673	0.4932
555	0.6956	0.7869	0.5342
556	0.6872	0.7714	0.4932
557	0.7056	0.7848	0.5068
558	0.7087	0.8025	0.4932
559	0.6804	0.7716	0.5068
560	0.6984	0.7909	0.4521
561	0.6920	0.7870	0.5479
562	0.7090	0.7901	0.5342
563	0.6741	0.7655	0.5068
564	0.6843	0.7667	0.5342
565	0.6870	0.7667	0.5342
566	0.7447	0.8313	0.5068
567	0.6797	0.7656	0.5205
568	0.6835	0.7641	0.5205
569	0.7243	0.8079	0.5068
570	0.6877	0.7811	0.5068
571	0.6716	0.7585	0.5342
572	0.7090	0.7877	0.4932
573	0.7513	0.8395	0.5205
574	0.7054	0.7967	0.4795
575	0.7018	0.7917	0.5342
576	0.7391	0.8203	0.5479
577	0.7395	0.8230	0.5205
578	0.7221	0.8054	0.4932
579	0.7020	0.7942	0.4932
580	0.6642	0.7463	0.5068
581	0.6955	0.7862	0.5342
582	0.7010	0.7916	0.4932
583	0.6900	0.7809	0.5205
584	0.6923	0.7752	0.4658
585	0.7100	0.7895	0.5205
586	0.6832	0.7782	0.5068
587	0.6860	0.7774	0.5068
588	0.7010	0.7953	0.5205
589	0.7381	0.8186	0.5342
590	0.7559	0.8385	0.4932
591	0.6944	0.7848	0.4658
592	0.6872	0.7733	0.5205
593	0.7299	0.8071	0.5068
594	0.7299	0.8205	0.4795
595	0.7340	0.8248	0.4932
596	0.6666	0.7483	0.5205
597	0.7012	0.7906	0.5068
598	0.7314	0.8158	0.4658
599	0.6980	0.7876	0.5205
600	0.7476	0.8242	0.4795
601	0.6864	0.7799	0.4932
602	0.6865	0.7722	0.4932
603	0.7135	0.7988	0.4932
604	0.7134	0.7958	0.4795
605	0.7060	0.7921	0.4932
606	0.7266	0.8150	0.5068
607	0.7060	0.7907	0.4795
608	0.7529	0.8395	0.4932
609	0.6944	0.7800	0.4795
610	0.7171	0.8059	0.5068
611	0.7247	0.8149	0.5068
612	0.6887	0.7793	0.5068
613	0.7103	0.8036	0.5068
614	0.6960	0.7791	0.5068
615	0.7290	0.8180	0.4932
616	0.7193	0.7997	0.4795
617	0.7107	0.7893	0.4521
618	0.6958	0.7789	0.4795
619	0.7182	0.7966	0.5616
620	0.7013	0.7839	0.4521
621	0.7099	0.7941	0.4932
622	0.7291	0.8176	0.5068
623	0.7190	0.8102	0.4795
624	0.6943	0.7851	0.5205
625	0.6887	0.7754	0.4932
626	0.7173	0.7958	0.4795
627	0.6670	0.7607	0.4932
628	0.7086	0.7977	0.4795
629	0.7182	0.7999	0.4932
630	0.7091	0.8029	0.5205
631	0.7112	0.8027	0.5479
632	0.6889	0.7825	0.5068
633	0.6930	0.7877	0.5205
634	0.7069	0.8006	0.5068
635	0.7213	0.8063	0.4932
636	0.7045	0.7985	0.5068
637	0.7170	0.8013	0.5342
638	0.7183	0.8071	0.5068
639	0.7447	0.8361	0.5616
640	0.6850	0.7791	0.5068
641	0.6933	0.7872	0.5068
642	0.7141	0.8048	0.4932
643	0.6935	0.7843	0.5342
644	0.6853	0.7716	0.5342
645	0.7034	0.7857	0.4795
646	0.6841	0.7755	0.5479
647	0.6932	0.7774	0.5342
648	0.7289	0.8170	0.4658
649	0.7012	0.7944	0.5068
650	0.7202	0.7986	0.4932
651	0.7167	0.8085	0.4932
652	0.6917	0.7830	0.5753
653	0.7125	0.8030	0.5205
654	0.7156	0.8049	0.5479
655	0.6844	0.7645	0.5342
656	0.7124	0.8046	0.4658
657	0.6834	0.7745	0.5342
658	0.6857	0.7659	0.5342
659	0.7365	0.8155	0.4795
660	0.7370	0.8181	0.5068
661	0.7308	0.8188	0.5068
662	0.6899	0.7765	0.5068
663	0.6760	0.7673	0.5342
664	0.6887	0.7836	0.4932
665	0.6924	0.7754	0.5342
666	0.6923	0.7785	0.5342
667	0.6902	0.7807	0.5342
668	0.6996	0.7920	0.5342
669	0.6777	0.7640	0.4932
670	0.7053	0.7972	0.5342
671	0.7036	0.7830	0.4932
672	0.7104	0.7896	0.5205
673	0.6755	0.7566	0.5068
674	0.7080	0.7899	0.5068
675	0.6926	0.7783	0.5205
676	0.6997	0.7826	0.4932
677	0.7228	0.8114	0.4932
678	0.7171	0.8086	0.4932
679	0.6840	0.7780	0.5068
680	0.7434	0.8308	0.5068
681	0.6989	0.7815	0.5479
682	0.7458	0.8253	0.5068
683	0.7018	0.7954	0.5068
684	0.6713	0.7553	0.4932
685	0.7323	0.8095	0.5479
686	0.6832	0.7781	0.4932
687	0.7731	0.8481	0.4932
688	0.7264	0.8176	0.4658
689	0.6955	0.7864	0.5205
690	0.7152	0.8080	0.5342
691	0.7115	0.7898	0.5068
692	0.7458	0.8362	0.5205
693	0.7081	0.7940	0.4932
694	0.7532	0.8293	0.5205
695	0.6814	0.7624	0.5342
696	0.7133	0.7979	0.4795
697	0.6769	0.7639	0.5205
698	0.7266	0.8108	0.5342
699	0.7083	0.7903	0.5205
700	0.7296	0.8171	0.4795
701	0.7319	0.8095	0.5342
702	0.6778	0.7646	0.5342
703	0.7326	0.8129	0.5342
704	0.6900	0.7831	0.5342
705	0.7186	0.8094	0.5479
706	0.6982	0.7923	0.5479
707	0.6851	0.7755	0.5342
708	0.6994	0.7922	0.4658
709	0.6964	0.7899	0.4795
710	0.6777	0.7656	0.5616
711	0.6851	0.7659	0.5205
712	0.6870	0.7736	0.5205
713	0.6853	0.7800	0.4795
714	0.6882	0.7715	0.5205
715	0.6889	0.7729	0.4932
716	0.7516	0.8382	0.5068
717	0.7246	0.8128	0.5342
718	0.7158	0.8047	0.5068
719	0.7650	0.8540	0.5890
720	0.7061	0.7987	0.4932
721	0.7200	0.8117	0.5068
722	0.6935	0.7855	0.5068
723	0.6944	0.7774	0.5205
724	0.7071	0.7880	0.4658
725	0.7031	0.7929	0.5068
726	0.7135	0.8058	0.5068
727	0.6831	0.7638	0.4795
728	0.7021	0.7963	0.5068
729	0.6877	0.7710	0.5205
730	0.6865	0.7729	0.5205
731	0.7171	0.8063	0.5068
732	0.6941	0.7848	0.5205
733	0.6803	0.7731	0.5205
734	0.6778	0.7694	0.5616
735	0.7428	0.8306	0.5342
736	0.7037	0.7933	0.5205
737	0.6915	0.7735	0.5205
738	0.6779	0.7692	0.4932
739	0.7305	0.8225	0.5205
740	0.7133	0.8054	0.5342
741	0.7413	0.8177	0.5205
742	0.6683	0.7528	0.5068
743	0.7273	0.8108	0.5068
744	0.7217	0.8000	0.5479
745	0.7078	0.7868	0.5205
746	0.6935	0.7764	0.5205
747	0.7083	0.7983	0.5205
748	0.7161	0.8055	0.5068
749	0.7349	0.8142	0.4384
750	0.7576	0.8477	0.5342
751	0.6760	0.7600	0.5205
752	0.7216	0.7993	0.5205
753	0.6950	0.7869	0.5205
754	0.7374	0.8146	0.5068
755	0.6946	0.7814	0.4932
756	0.7259	0.8162	0.5068
757	0.6736	0.7580	0.5205
758	0.7352	0.8156	0.4795
759	0.7030	0.7948	0.4932
760	0.7145	0.7931	0.4932
761	0.6972	0.7882	0.5479
762	0.6940	0.7845	0.4932
763	0.7001	0.7819	0.4932
764	0.7475	0.8293	0.5068
765	0.7294	0.8127	0.4795
766	0.7111	0.8044	0.5068
767	0.7226	0.8138	0.5068
768	0.6904	0.7709	0.4932
769	0.7163	0.8061	0.5068
770	0.6930	0.7790	0.5068
771	0.6796	0.7752	0.4932
772	0.6851	0.7768	0.5068
773	0.7315	0.8156	0.5479
774	0.7393	0.8296	0.5068
775	0.7036	0.7861	0.4795
776	0.6865	0.7797	0.4795
777	0.7495	0.8311	0.4795
778	0.7018	0.7917	0.4795
779	0.7097	0.7886	0.4521
780	0.6918	0.7738	0.5479
781	0.7222	0.8132	0.5616
782	0.7225	0.8041	0.4795
783	0.6944	0.7878	0.5479
784	0.6785	0.7635	0.5205
785	0.7320	0.8164	0.4521
786	0.7296	0.8102	0.5068
787	0.7339	0.8245	0.5205
788	0.7011	0.7873	0.5342
789	0.7091	0.7985	0.5342
790	0.7094	0.7913	0.4932
791	0.6908	0.7813	0.5068
792	0.6875	0.7826	0.4932
793	0.6925	0.7834	0.5068
794	0.7237	0.8046	0.5616
795	0.7017	0.7834	0.5205
796	0.6980	0.7906	0.5068
797	0.6846	0.7760	0.4932
798	0.7312	0.8217	0.4795
799	0.6986	0.7913	0.5205
800	0.7414	0.8209	0.4521
801	0.6953	0.7855	0.4932
802	0.6938	0.7766	0.5068
803	0.6956	0.7874	0.5068
804	0.7133	0.8025	0.4521
805	0.6794	0.7665	0.4795
806	0.6889	0.7756	0.4795
807	0.7216	0.8027	0.5205
808	0.6741	0.7656	0.5205
809	0.6753	0.7682	0.5068
810	0.7459	0.8284	0.5479
811	0.7403	0.8285	0.4932
812	0.7039	0.7946	0.4795
813	0.7244	0.8045	0.5479
814	0.7003	0.7798	0.4795
815	0.7180	0.7995	0.5068
816	0.7229	0.8157	0.5068
817	0.6984	0.7880	0.4932
818	0.7242	0.8052	0.5205
819	0.7194	0.8088	0.5068
820	0.6845	0.7650	0.5205
